Code,Municipality,County
1012,Glen Gardner Bor. ,Hunterdon
0708,Glen Ridge Bor. Twp.,Essex
0222,Glen Rock Bor. ,Bergen
0414,Gloucester City ,Camden
0415,Gloucester Twp. ,Camden
1809,Green Brook Twp. ,Somerset
1908,Green Twp. ,Sussex
0606,Greenwich Twp.,Cumberland
0807,Greenwich Twp. ,Gloucester
2107,Greenwich Twp. ,Warren
0903,Guttenberg Town ,Hudson
0223,Hackensack City ,Bergen
2108,Hackettstown Town ,Warren
0418,Haddon Heights Bor. ,Camden
0416,Haddon Twp. ,Camden
0417,Haddonfield Bor. ,Camden
0316,Hainesport Twp. ,Burlington
1603,Haledon Bor. ,Passaic
1909,Hamburg Bor. ,Sussex
0112,Hamilton Twp. ,Atlantic
1103,Hamilton Twp. ,Mercer
0113,Hammonton Town ,Atlantic
1013,Hampton Bor. ,Hunterdon
1910,Hampton Twp. ,Sussex
1412,Hanover Twp. ,Morris
1413,Harding Twp. ,Morris
2109,Hardwick Twp. ,Warren
1911,Hardyston Twp. ,Sussex
2110,Harmony Twp. ,Warren
0224,Harrington Park Bor. ,Bergen
0904,Harrison Town ,Hudson
0808,Harrison Twp. ,Gloucester
1510,Harvey Cedars Bor. ,Ocean
0225,Hasbrouck Heights Bor. ,Bergen
0226,Haworth Bor. ,Bergen
1604,Hawthorne Bor. ,Passaic
1318,Hazlet Twp. ,Monmouth
1206,Helmetta Bor. ,Middlesex
1014,High Bridge Bor. ,Hunterdon
1207,Highland Park Bor. ,Middlesex
1319,Highlands Bor. ,Monmouth
1104,Hightstown Bor. ,Mercer
1810,Hillsborough. Twp. ,Somerset
0227,Hillsdale Bor. ,Bergen
2007,Hillside Twp. ,Union
0419,Hi-Nella Bor. ,Camden
0228,Ho Ho Kus Bor.,Bergen
0905,Hoboken City ,Hudson
1015,Holland Twp. ,Hunterdon
1320,Holmdel Twp. ,Monmouth
1912,Hopatcong Bor. ,Sussex
2111,Hope Twp. ,Warren
1105,Hopewell Bor. ,Mercer
0607,Hopewell Twp. ,Cumberland
1106,Hopewell Twp. ,Mercer
1321,Howell Twp. ,Monmouth
2112,Independence Twp. ,Warren
1322,Interlaken Bor. ,Monmouth
0709,Irvington Twp. ,Essex
1511,Island Heights Bor. ,Ocean
1512,Jackson Twp. ,Ocean
1208,Jamesburg Bor. ,Middlesex
1414,Jefferson Twp. ,Morris
0906,Jersey City ,Hudson
1323,Keansburg Bor. ,Monmouth
0907,Kearny Town ,Hudson
2008,Kenilworth Bor. ,Union
1324,Keyport Bor. ,Monmouth
1016,Kingwood Twp. ,Hunterdon
1415,Kinnelon Bor. ,Morris
2113,Knowlton Twp. ,Warren
1513,Lacey Twp. ,Ocean
1913,Lafayette Twp. ,Sussex
1346,Lake Como Bor. ,Monmouth
1514,Lakehurst Bor. ,Ocean
1515,Lakewood Twp. ,Ocean
1017,Lambertville City ,Hunterdon
0420,Laurel Springs Bor. ,Camden
1516,Lavallette Bor. ,Ocean
0421,Lawnside Bor. ,Camden
0608,Lawrence Twp. ,Cumberland
1107,Lawrence Twp. ,Mercer
1018,Lebanon Bor. ,Hunterdon
1019,Lebanon Twp. ,Hunterdon
0229,Leonia Bor. ,Bergen
2114,Liberty Twp. ,Warren
1416,Lincoln Park Bor. ,Morris
2009,Linden City ,Union
0422,Lindenwold Bor. ,Camden
0114,Linwood City ,Atlantic
1517,Little Egg Harbor Twp.,Ocean
1605,Little Falls Twp. ,Passaic
0230,Little Ferry Bor. ,Bergen
1325,Little Silver Bor. ,Monmouth
0710,Livingston Twp. ,Essex
1326,Loch Arbour Village ,Monmouth
0231,Lodi Bor. ,Bergen
0809,Logan Twp. ,Gloucester
1518,Long Beach Twp. ,Ocean
1327,Long Branch City ,Monmouth
1430,Long Hill Twp. ,Morris
0115,Longport Bor. ,Atlantic
2115,Lopatcong Twp. ,Warren
1705,Lower Alloways Crk. Twp.,Salem
0505,Lower Twp. ,Cape May
0317,Lumberton Twp. ,Burlington
0232,Lyndhurst Twp. ,Bergen
1417,Madison Bor. ,Morris
0423,Magnolia Bor. ,Camden
0233,Mahwah Twp. ,Bergen
1328,Manalapan Twp. ,Monmouth
1329,Manasquan Bor. ,Monmouth
1519,Manchester Twp. ,Ocean
1706,Mannington Twp. ,Salem
0318,Mansfield Twp. ,Burlington
2116,Mansfield Twp. ,Warren
1520,Mantoloking Bor. ,Ocean
0810,Mantua Twp. ,Gloucester
1811,Manville Bor. ,Somerset
0319,Maple Shade Twp. ,Burlington
